3-gram	*/*	3/*	4/*	5/*	6/*	7/*	8/*	9/*	3/1:3	4/1:3	4/2:4	5/1:3	5/2:4	5/3:5	6/1:3	6/2:4	6/3:5	6/4:6	7/1:3	7/2:4	7/3:5	7/4:6	7/5:7	8/1:3	8/2:4	8/3:5	8/4:6	8/5:7	8/6:8	9/1:3	9/2:4	9/3:5	9/4:6	9/5:7	9/6:8	9/7:9	*/1:3	*/2:4	*/3:5	*/4:6	*/5:7	*/6:8	*/7:9	*/8:10	*/9:11	*/-9:-7	*/-8:-6	*/-7:-5	*/-6:-4	*/-5:-3	*/-4:-2	*/-3:-1
BBO	29395210	0	0	5634545	11224175	5089664	4313186	0	0	0	0	0	5634545	0	0	3960045	7264130	0	0	0	4888235	201429	0	0	0	0	4313186	0	0	0	0	0	0	0	0	0	0	9889140	12152365	7142371	0	0	211334	0	0	1098010	142439	1681857	0	13161466	13311438	0
SRO	29333171	256465	0	0	121883	0	572693	20181866	256465	0	0	0	0	0	121883	0	0	0	0	0	0	0	0	0	0	0	572693	0	0	0	0	0	0	20181866	0	0	378348	0	0	572693	28207638	0	0	174492	0	0	0	0	8322147	20754559	0	256465
OVO	29290615	156458	1539740	1866824	1596117	6586461	7031421	2451288	156458	0	1539740	663276	0	1203548	0	0	0	1596117	0	326572	6154782	105107	0	0	0	7031421	0	0	0	0	0	2451288	0	0	0	0	819734	2129028	23248831	2116111	976911	0	0	0	0	5516540	891250	2451288	7858541	6818058	105107	4495863
IBO	29236007	456617	117490	711920	570484	1441961	10368790	3656250	456617	117490	0	0	711920	0	0	570484	0	0	0	0	0	1335302	106659	0	692812	553952	9122026	0	0	0	2151134	214144	621461	308391	0	361120	574107	5613034	768096	19612159	924815	180412	877126	686258	0	788936	2408583	10021494	1470481	10276860	2164712	1034540
ESQ	29224902	7145593	201357	0	0	1719903	1411121	5919300	7145593	201357	0	0	0	0	0	0	0	0	1238477	0	481426	0	0	459326	696384	0	255411	0	0	483447	0	0	0	5435853	0	0	9528200	1259175	481426	255411	8040583	2127250	7263061	103659	166137	1097210	459326	4100366	622427	15089602	201357	7249252
RFI	29217115	132126	328568	0	127776	1553496	5023449	3637789	132126	328568	0	0	0	0	0	0	127776	0	0	0	1553496	0	0	0	0	3875453	1147996	0	0	0	0	1361164	1454111	822514	0	0	460694	0	7517719	2883428	15350375	1702542	1302357	0	0	2110511	779486	13302794	8332175	3681586	456344	132126
RGR	29209753	0	0	0	0	142843	836914	4029008	0	0	0	0	0	0	0	0	0	0	0	0	142843	0	0	0	0	836914	0	0	0	0	0	0	3869977	159031	0	0	0	0	1491819	5819472	21715250	183212	0	0	0	5614874	998829	14268388	6208867	301874	0	0
XXI	29147653	4756856	12451411	9407412	2375941	156033	0	0	4756856	10245331	2206080	4222034	5017214	168164	0	1919413	456528	0	0	0	156033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19224221	9142707	780725	0	0	0	0	0	0	0	0	0	0	6297480	15719073	7131100
RYL	29048623	0	766759	2993167	2151542	2304834	13487072	1686041	0	458581	308178	0	1526199	1466968	213131	128895	0	1809516	251416	257531	1795887	0	0	0	0	13128280	0	0	358792	0	0	861645	824396	0	0	0	923128	2220803	18176423	2633912	0	358792	1127203	3347562	115061	0	3488714	1676540	15352085	1924782	1984780	4327974
LCI	29039027	107045	0	270494	476612	20687638	1090182	903374	107045	0	0	0	0	270494	0	0	476612	0	0	0	20527984	159654	0	0	102982	987200	0	0	0	0	0	903374	0	0	0	0	107045	881030	26223367	159654	1559530	0	0	108401	0	1246748	2007774	1215568	987200	20527984	636266	377539
EXO	29008177	233234	1270985	325711	12193312	1197288	2191430	4516244	233234	1270985	0	325711	0	0	10041555	232477	1919280	0	682807	114024	400457	0	0	2058979	132451	0	0	0	0	4516244	0	0	0	0	0	0	23106285	632429	4944455	0	172787	152221	0	0	0	4669721	4683697	988045	10155579	1110866	3190265	233234
RKN	28971707	0	0	0	807238	222829	27941640	0	0	0	0	0	0	0	0	807238	0	0	0	222829	0	0	0	0	0	27552904	388736	0	0	0	0	0	0	0	0	0	0	1030067	27552904	388736	0	0	0	0	0	0	0	0	27775733	1195974	0	0
MUE	28963598	0	0	0	25570777	2594858	0	797963	0	0	0	0	0	0	513960	0	25056817	0	1951005	0	643853	0	0	0	0	0	0	0	0	0	0	797963	0	0	0	0	2464965	0	26498633	0	0	0	0	0	0	0	0	2748968	513960	643853	25056817	0
UZZ	28932187	0	2150804	4437618	8167750	10262237	3120319	195124	0	0	2150804	0	4437618	0	137488	8030262	0	0	0	9723321	0	538916	0	0	3120319	0	0	0	0	0	195124	0	0	0	0	0	137488	28117821	137962	538916	0	0	0	0	0	460373	333086	3120319	9860809	8030262	4976534	2150804
RCR	28893205	0	301483	0	0	194102	23034049	0	0	301483	0	0	0	0	0	0	0	0	0	0	194102	0	0	0	0	23034049	0	0	0	0	0	0	0	0	0	0	301483	0	23228151	3471944	1368164	0	523463	0	0	1946354	2036476	230753	24184037	194102	301483	0
MCC	28841793	547403	0	1451627	5381692	2764319	6575678	9002709	547403	0	0	1451627	0	0	5381692	0	0	0	2764319	0	0	0	0	6575678	0	0	0	0	0	9002709	0	0	0	0	0	0	28841793	0	0	0	0	0	0	0	0	9002709	6575678	2764319	5381692	1451627	0	547403
FFR	28692520	0	0	138225	665516	6458615	13131217	1125689	0	0	0	0	138225	0	0	312619	352897	0	0	1341328	5117287	0	0	0	458041	7946346	4726830	0	0	0	401993	532168	0	191528	0	0	0	3439246	20334916	4726830	191528	0	0	0	0	6077324	1168562	990209	9287674	10348264	491122	0
HST	28624150	266570	0	0	0	264058	0	7545954	266570	0	0	0	0	0	0	0	0	0	0	0	0	0	264058	0	0	0	0	0	0	0	0	0	6121620	1424334	0	0	266570	0	0	6824280	3039965	1211228	17282107	0	0	17830102	168088	277305	7315267	2502760	0	530628
BRY	28552423	219219	658724	6756408	10587464	4094582	115113	4169631	219219	658724	0	6084505	0	671903	3798656	0	6788808	0	382515	0	3712067	0	0	0	0	115113	0	0	0	133735	0	4035896	0	0	0	0	11440209	0	17008981	0	0	0	0	0	0	133735	961528	4521644	3913769	9796572	7447532	891122
OGO	28532777	0	3262340	4916057	1391387	228900	687334	10799781	0	0	3262340	110362	4390090	415605	0	1391387	0	0	0	105613	0	0	123287	0	357716	0	191350	0	138268	0	0	0	0	10799781	0	0	110362	9507146	415605	410974	14562446	2936724	0	589520	0	508883	0	876240	3118240	15699824	4390090	3939500
AKN	28519249	0	0	0	0	0	20704880	418317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20704880	0	0	0	0	0	0	418317	0	0	0	0	0	28100932	418317	0	0	0	0	0	0	7396052	0	21123197	0	0	0
DEI	28509183	5519213	590864	10438839	818772	8440870	1516515	285158	5519213	590864	0	9986628	0	452211	818772	0	0	0	6337296	0	1938144	165430	0	209161	0	0	0	1307354	0	285158	0	0	0	0	0	0	24544431	0	2390355	267043	1307354	0	0	0	0	285158	209161	6438909	818772	11924772	2063648	5971424
BNO	28438291	0	0	0	217671	0	14195398	2585587	0	0	0	0	0	0	0	217671	0	0	0	0	0	0	0	0	14195398	0	0	0	0	0	1983938	601649	0	0	0	0	0	27722385	715906	0	0	0	0	0	0	1951097	1983938	14797047	0	217671	0	0
OQU	28412446	0	0	445245	760914	4021556	9795334	7470110	0	0	0	0	445245	0	0	0	760914	0	0	0	414929	3606627	0	0	868624	8156913	0	769797	0	0	281253	6131859	0	261231	795767	0	0	2142526	16893083	3606627	4068520	1369506	0	332184	0	659150	2197342	7000483	11377351	676160	6378350	0
RBU	28358061	0	0	0	807369	2487343	2145408	10013074	0	0	0	0	0	0	0	0	807369	0	0	196149	2291194	0	0	0	268189	0	1877219	0	0	0	638358	7909029	761582	704105	0	0	0	1215033	16311778	3712146	704105	6179506	235493	0	0	1196376	5418113	8690955	957731	11287517	807369	0
TUP	28240526	116113	113234	6795506	13299589	1352424	760775	3059922	116113	113234	0	928505	600272	5266729	1137895	11813826	347868	0	0	0	0	0	1352424	117885	642890	0	0	0	0	0	3059922	0	0	0	0	0	2413632	18387824	6086646	0	1352424	0	0	0	0	1913268	3177807	642890	1137895	12742331	1061374	6735266
GEE	28234229	1748877	1369922	4710427	1270134	5793439	11187338	1782185	1748877	792049	577873	3080966	0	1629461	728095	0	0	542039	245633	0	0	0	5547806	0	0	0	0	9970762	1216576	0	0	0	0	0	0	1782185	6595620	577873	1629461	542039	15518568	1337694	2032974	0	0	0	0	245633	849213	3080966	11013600	13044817
CYL	28225640	172065	649673	0	359212	246815	14626425	5383068	172065	0	649673	0	0	0	0	359212	0	0	0	0	0	0	246815	14626425	0	0	0	0	0	4546484	121561	0	0	564114	0	150909	24884195	1130446	0	132128	1794119	0	150909	0	0	4546484	14747986	378700	604490	1057169	0	1219462
RYW	28205161	0	0	0	0	214443	239820	0	0	0	0	0	0	0	0	0	0	0	0	214443	0	0	0	0	0	0	239820	0	0	0	0	0	0	0	0	0	0	214443	0	27627712	0	363006	0	0	0	0	0	27536907	428434	239820	0	0
HOA	28202255	481179	2100578	4623206	4783461	842926	2354458	413011	481179	1623751	476827	3223358	1125476	274372	2509217	2274244	0	0	640323	202603	0	0	0	1687526	116547	0	550385	0	0	111660	0	0	301351	0	0	0	10695533	4195697	274372	851736	12060618	124299	0	0	0	772697	2100057	756870	3204693	6047987	2749227	1232378
ENB	28193939	0	0	193256	186325	857685	306237	10334459	0	0	0	0	193256	0	0	186325	0	0	0	504247	0	353438	0	0	0	306237	0	0	0	0	0	0	10215766	118693	0	0	0	883828	306237	12907064	8666880	3944229	829536	520600	135565	681281	328280	2394980	23937686	305018	546694	0
SLU	28140337	0	4199203	6929913	5297272	4530022	3550273	273822	0	4199203	0	6929913	0	0	5297272	0	0	0	4530022	0	0	0	0	3550273	0	0	0	0	0	273822	0	0	0	0	0	0	25945655	0	0	0	2194682	0	0	0	0	273822	3921476	6353501	5297272	6929913	4199203	0
LRY	28073202	0	0	0	0	23825445	3045475	678134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23825445	0	0	0	0	0	3045475	0	0	678134	0	0	0	0	0	0	678134	0	24349593	3045475	0	0	0	0	0	678134	524148	0	0	26870920
AWK	28068672	131215	4996132	2779308	3120827	13083384	741743	1891241	131215	0	4996132	0	2779308	0	0	1626104	0	1494723	6632502	5852053	0	464157	134672	0	0	0	118739	0	623004	1411601	0	0	172123	0	199526	107991	9133660	15620077	0	2249742	134672	822530	107991	0	0	1641709	0	6632502	6024176	1744843	3442991	7487737
DHA	28059366	382693	249452	1517648	15269896	5608883	1164637	1022739	382693	249452	0	877486	0	640162	3498927	0	1457389	10313580	401155	0	502693	4313557	391478	0	0	0	538283	626354	0	0	0	0	271736	751003	0	0	5762875	0	3050852	16009471	1870102	1366066	0	0	0	0	0	1128845	3977916	3774170	6646752	11727913
UCR	28036823	224526	0	603911	0	2759323	1068277	3762520	224526	0	0	0	603911	0	0	0	0	0	0	2759323	0	0	0	0	1068277	0	0	0	0	0	3762520	0	0	0	0	0	224526	8194031	0	0	0	19618266	0	0	0	138683	5128798	7642232	13112515	751693	603911	224526
SFY	27970708	0	0	0	0	19546973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19546973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27604815	0	365893	0	0	0	0	0	8423735	0	0	19546973
LAH	27857110	340324	552526	6033103	4435143	1138062	12537215	2005246	340324	123428	429098	261134	0	5771969	2532926	0	0	1902217	136971	0	359117	205441	436533	102332	418602	7867193	945494	0	3203594	0	0	1257713	0	0	0	747533	3497115	847700	15255992	3651640	436533	3203594	747533	217003	0	0	700820	1813286	10400119	1565745	328869	13048271
HOV	27853081	117265	875722	3177707	5916412	9615831	2361940	5515477	117265	875722	0	1834472	1343235	0	1087308	4829104	0	0	1727451	1678739	4709791	342635	1157215	2145451	216489	0	0	0	0	0	407106	0	291724	4816647	0	0	7942945	8592124	4709791	634359	5973862	0	0	0	0	117451	2552557	1943940	3057771	16190014	2561592	1274480
ABN	27796599	151240	0	998427	596809	0	14298928	0	151240	0	0	998427	0	0	217671	379138	0	0	0	0	0	0	0	14195398	0	103530	0	0	0	0	0	0	0	0	0	0	27313931	379138	103530	0	0	0	0	0	0	0	14195398	0	321201	1377565	0	151240
ANL	27780603	177497	0	4011626	2298779	15378535	0	939777	177497	0	0	0	4011626	0	239534	1712996	346249	0	111637	237560	11854296	3175042	0	0	0	0	0	0	0	0	791654	0	0	0	148123	0	528668	6753836	12200545	6402434	0	727998	0	1167122	0	0	4150781	111637	975903	13801700	8563085	177497
NDW	27740577	0	0	0	0	0	7292190	5188855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180151	7112039	0	0	0	0	0	5188855	0	0	0	0	0	1107421	20827018	123989	5682149	0	0	0	0	6079627	3270549	9364891	8794993	0	0	0
LYC	27689917	0	0	465786	2280046	1897875	6312923	1145076	0	0	0	465786	0	0	972684	1307362	0	0	267936	1463869	166070	0	0	698338	5224580	390005	0	0	0	0	1034414	0	0	110662	0	0	2595140	14417917	4401481	0	1453015	1877864	1996523	626817	170690	3636208	5066314	8467758	3244494	2447793	0	0
YMM	27667168	0	0	0	144330	0	8891438	6446148	0	0	0	0	0	0	0	144330	0	0	0	0	0	0	0	0	8891438	0	0	0	0	0	3847820	2598328	0	0	0	0	0	19274799	7392950	272359	318610	282590	125860	0	0	1164546	6788258	11615626	0	144330	0	0
JIM	27612214	17561897	536025	7156881	1084398	688130	584883	0	17561897	536025	0	7156881	0	0	776812	0	307586	0	688130	0	0	0	0	0	0	324948	0	259935	0	0	0	0	0	0	0	0	26719745	0	632534	0	259935	0	0	0	0	0	0	688130	1101760	7156881	1103546	17561897
JEF	27579476	0	4790128	122458	0	4946716	1302483	15705074	0	4790128	0	122458	0	0	0	0	0	0	4946716	0	0	0	0	1302483	0	0	0	0	0	15705074	0	0	0	0	0	0	27579476	0	0	0	0	0	0	0	0	15705074	1302483	4946716	0	122458	4790128	0
RQU	27513316	0	0	0	6723412	10283569	3700549	3244461	0	0	0	0	0	0	0	0	6723412	0	0	0	10283569	0	0	0	454450	2684270	347860	213969	0	0	0	3061778	0	182683	0	0	0	583650	23983262	347860	539878	0	0	2058666	0	807430	566029	3516228	2684270	10814112	8996047	0
CIU	27378819	0	0	0	3117020	19770886	448202	3079332	0	0	0	0	0	0	1120018	0	1997002	0	0	0	0	19770886	0	0	0	0	0	448202	0	0	0	0	156512	0	2922820	0	1120018	0	1997002	20092396	584948	2922820	553234	0	108401	0	0	164998	1521677	0	25692144	0
SKA	27359435	169183	113688	1583766	10470635	4808298	7017408	743614	169183	113688	0	839577	744189	0	1566773	128639	0	8775223	2245043	543147	0	1600585	419523	0	0	129024	349601	0	6538783	0	0	608900	0	0	0	134714	5076336	1415975	2840250	10725409	419523	6640910	134714	106318	0	0	0	2853943	2238944	1419944	2458462	16143744
NGF	27310740	341187	0	0	0	0	3153205	377170	341187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1048815	2104390	0	0	0	0	377170	0	0	0	0	341187	0	3673513	2936935	4935224	15246971	176910	0	0	624650	2226768	7031397	1920433	15166305	0	341187
SOA	27273485	466939	12529979	3017134	6033459	3693043	0	340206	466939	12529979	0	2628353	388781	0	5868926	0	0	164533	3693043	0	0	0	0	0	0	0	0	0	0	227628	0	0	0	0	112578	0	25414868	388781	1192725	164533	0	112578	0	0	0	702543	344018	3693043	5868926	2628353	13031338	631472
SMU	27263791	103680	1318530	1039810	831896	6054209	9219412	5597531	103680	1318530	0	1039810	0	0	831896	0	0	0	939984	0	1558271	3555954	0	1751870	0	0	7106286	361256	0	3040335	0	1139458	0	1417738	0	0	9026105	0	2697729	10662240	3973673	0	673764	124136	0	3805958	1751870	2433775	1788588	11122105	6139784	103680
YDE	27254475	0	4256730	4841849	9805166	165042	1986155	2432014	0	0	4256730	0	1667753	3174096	0	0	9805166	0	0	0	165042	0	0	0	621965	0	0	199759	1164431	0	1804022	0	0	0	627992	0	0	8350470	13282915	0	199759	1792423	0	0	411599	0	1942633	621965	0	165042	12300670	12224165
LBA	27098220	0	2338264	1646914	8887954	7042470	3694215	1901991	0	0	2338264	0	1024229	622685	0	8044253	843701	0	0	2185407	2102615	2754448	0	0	1796051	0	1898164	0	0	0	1379114	0	105226	308563	109088	0	0	16902046	3569001	4757838	1022618	472104	110223	264390	0	0	1570916	2318304	2290633	12826834	4995856	2960949
RAK	27032536	117117	2126793	11558179	6289459	2881660	1660507	1712618	117117	1858580	268213	1466102	9193167	898910	1332108	3561874	561694	833783	0	2166740	168073	108579	438268	0	576488	869551	0	214468	0	0	203426	424235	968498	0	116459	0	4773907	16224347	2922463	1910860	933491	267468	0	0	0	117937	203426	1000723	5768661	5196049	12052947	2556291
YLL	26954122	0	113054	1024157	2435156	3353879	7444579	7397578	0	0	113054	0	473520	550637	0	175370	679011	1580775	0	238418	3115461	0	0	0	7316591	127988	0	0	0	0	5851131	0	1084057	194337	0	268053	0	15279159	4614226	2664832	194337	938897	882871	165597	2214203	726404	6269589	7978159	2230878	3485168	1276263	4602990
JEN	26947966	1431331	2101829	6064461	5967281	4230442	6802560	350062	1431331	2101829	0	6064461	0	0	5967281	0	0	0	4230442	0	0	0	0	6248273	0	449483	0	104804	0	350062	0	0	0	0	0	0	26393679	0	449483	0	104804	0	0	0	0	350062	6248273	4230442	6416764	6064461	2206633	1431331
SOB	26916669	1405236	1472136	8751659	1845615	4337337	3028003	1255277	1405236	1472136	0	8751659	0	0	1336925	508690	0	0	3151500	236376	949461	0	0	2519363	367375	141265	0	0	0	404458	127437	723382	0	0	0	0	19041277	1239878	6635514	0	0	0	0	0	0	1243488	3079386	4242257	1714566	10209810	1472136	1405236
HEV	26756893	334571	1422078	777846	280486	967129	422416	13240732	334571	0	1422078	162062	615784	0	0	280486	0	0	0	967129	0	0	0	0	320537	0	0	0	101879	0	3338265	455641	0	6624875	0	2821951	496633	7446860	655616	1045824	10987786	101879	2821951	3200344	0	305231	4143585	1325279	5364024	7067423	615784	7738217
ESY	26748312	0	0	467215	4983350	414340	19110737	0	0	0	0	0	0	467215	0	0	0	4983350	0	0	0	0	414340	0	0	0	0	0	19110737	0	0	0	0	0	0	0	0	0	1187342	5411894	414340	19516842	0	0	217894	720127	101810	326734	406105	0	0	25193536
OSL	26723634	0	2387889	306736	4443083	2069196	3365735	349336	0	2387889	0	306736	0	0	0	4443083	0	0	0	2069196	0	0	0	0	114211	223393	3028131	0	0	0	0	0	349336	0	0	0	2694625	6626490	557540	9952383	0	6892596	0	0	0	5005783	532138	8170537	2641925	7777950	2387889	0
WNI	26672086	0	0	114453	4393302	5317803	15929339	233100	0	0	0	114453	0	0	0	4171715	221587	0	0	314407	4530250	473146	0	0	0	0	15929339	0	0	0	0	0	101419	131681	0	0	114453	4486122	4751837	16648283	241444	429947	0	0	0	0	0	109763	415826	25307385	694733	0
NZE	26597862	0	120469	612223	15027416	6747032	748401	465675	0	0	120469	0	0	612223	0	0	2467164	12560252	0	0	4166611	1667924	912497	0	139548	308521	0	300332	0	0	0	317902	0	0	147773	0	0	260017	8063619	14228176	1321550	147773	2138051	331947	106729	0	191198	457450	417242	5703284	5623247	14205441
AMN	26551612	0	8988924	290961	6357707	6055382	2137024	2177305	0	0	8988924	185940	105021	0	415721	5941986	0	0	3984816	891620	0	0	1178946	1134327	877662	0	0	125035	0	0	1596957	150089	0	430259	0	0	6151718	18402170	263484	0	1734240	0	0	0	0	0	2731284	5012567	1307341	6558185	230056	10167870
UAS	26536345	142210	759923	8617183	2104178	1023379	745524	101780	142210	0	759923	0	8422980	194203	0	201778	1902400	0	0	1023379	0	0	0	0	109002	636522	0	0	0	0	101780	0	0	0	0	0	142210	10618842	2733125	0	13042168	0	0	0	0	0	786748	940607	12807983	201778	10325380	1096336
ATF	26446886	260600	0	0	0	1102499	18776654	6307133	260600	0	0	0	0	0	0	0	0	0	0	1102499	0	0	0	0	1004483	17772171	0	0	0	0	0	4156565	2150568	0	0	0	260600	2106982	21928736	2150568	0	0	0	0	0	0	0	5161048	21025238	0	0	260600
UNM	26425047	0	0	519556	1546660	3433777	2855794	7586157	0	0	0	519556	0	0	714574	832086	0	0	2678984	754793	0	0	0	2855794	0	0	0	0	0	7586157	0	0	0	0	0	0	24838168	1586879	0	0	0	0	0	0	0	7586157	2855794	2678984	1469367	1351642	0	0
EMU	26423209	987361	0	3330335	1263347	2868277	5550625	5118374	987361	0	0	0	3330335	0	0	1263347	0	0	1993684	617719	105705	151169	0	3870271	1509361	0	0	170993	0	3366873	269190	911954	0	0	570357	0	11225454	11514891	1175046	264720	170993	782313	243537	127077	0	3738062	4249711	4414999	617719	1769312	5112386	987361
OSY	26395274	0	3873594	123031	237113	2464477	0	3948154	0	0	3873594	0	0	123031	0	0	0	237113	0	275528	0	0	2188949	0	0	0	0	0	0	0	0	3836395	0	111759	0	0	0	4149122	10093965	4273902	7508088	370197	0	0	0	1747060	4079624	4206382	275528	111759	0	6422687
EIC	26375881	176449	0	6545817	1001071	4199266	2695637	6126613	176449	0	0	0	6056903	488914	0	470484	278628	251959	302273	773511	104325	243285	2775872	821855	394167	609798	120891	365698	383228	0	5386142	0	164080	0	410759	165632	1656226	14734306	1623716	921742	3581621	1223482	1245702	635387	381046	754658	6381649	837967	1987440	951543	8145770	5631140
HLI	26333216	0	0	575794	664521	1100604	1725777	5641566	0	0	0	0	318024	257770	0	0	520128	144393	0	0	872042	228562	0	0	0	0	358009	1367768	0	0	0	136254	5273258	232054	0	0	0	318024	2270966	16821948	4080153	1101751	1633673	106701	0	1636422	4844495	5847882	7855844	1462105	4068155	508864
YNC	26328222	0	1080220	3836102	0	1686077	1446787	2006253	0	0	1080220	0	3836102	0	0	0	0	0	0	1686077	0	0	0	0	1446787	0	0	0	0	0	2006253	0	0	0	0	0	0	21154848	1654495	0	404434	2960401	154044	0	0	2167886	3781330	2061663	1840121	0	3836102	1080220
IOP	26311714	320960	174323	0	4387539	2548745	6325530	2439216	320960	0	174323	0	0	0	0	4387539	0	0	0	2548745	0	0	0	0	1340777	0	4768365	216388	0	0	0	112578	2326638	0	0	0	320960	9833311	2117420	10985683	1387497	815061	851782	0	0	420709	3315662	3644784	5313252	9266997	216388	495283
UPW	26228551	0	0	0	15971304	8940926	379443	936878	0	0	0	0	0	0	15971304	0	0	0	8940926	0	0	0	0	379443	0	0	0	0	0	579104	0	0	357774	0	0	0	25870777	0	0	357774	0	0	0	0	0	579104	379443	8940926	16329078	0	0	0
MNA	26225118	112257	0	266084	572202	4651838	7570150	4043376	112257	0	0	0	0	266084	0	0	366333	205869	0	0	3973529	678309	0	0	0	5268656	0	2301494	0	0	0	4043376	0	0	0	0	112257	0	15791695	884178	2301494	7135494	0	0	0	0	1827452	10557445	5268656	3973529	3346136	584210
LLM	26168050	0	0	0	742455	5240040	3797502	721565	0	0	0	0	0	0	0	742455	0	0	0	430395	4809645	0	0	0	0	3002631	794871	0	0	0	0	721565	0	0	0	0	0	1172850	8650805	914329	5769237	9660829	0	0	0	243604	0	2788297	16789178	6346971	0	0
PWA	26153136	215840	0	0	15683040	8940926	379443	748728	215840	0	0	0	0	0	0	15683040	0	0	0	8940926	0	0	0	0	379443	0	0	0	0	0	0	0	512032	236696	0	0	215840	25003409	0	512032	421855	0	0	0	0	0	185159	379443	9452958	15919736	0	215840
KAY	26144519	3944945	15830498	2750604	2368650	364071	669856	0	3944945	1256878	14573620	767492	0	1983112	446377	0	187350	1734923	0	189063	0	175008	0	193294	0	346830	129732	0	0	0	0	0	0	0	0	0	6608986	14762683	2517292	2039663	0	0	215895	0	0	0	193294	0	982270	897224	1835131	22236600
IXI	26122281	0	0	1795027	20855537	121885	290890	518193	0	0	0	0	1795027	0	0	19774606	1080931	0	0	121885	0	0	0	0	0	0	290890	0	0	0	152038	0	0	366155	0	0	0	21843556	1080931	290890	366155	0	2540749	0	0	0	152038	0	121885	22972400	2875958	0
DMO	26059717	0	0	0	1286398	1897978	4676685	820210	0	0	0	0	0	0	0	1286398	0	0	0	648140	1106844	142994	0	0	1890650	257638	2528397	0	0	0	239303	580907	0	0	0	0	0	9081090	2171539	3047954	11759134	0	0	0	0	3653279	1691812	13380895	905778	4921639	142994	0
DUB	26006566	605276	525826	936981	15883528	6123642	132181	765070	605276	525826	0	936981	0	0	15883528	0	0	0	4948219	0	1175423	0	0	132181	0	0	0	0	0	765070	0	0	0	0	0	0	23797081	0	2209485	0	0	0	0	0	0	1799132	132181	4948219	15883528	2112404	525826	605276
ZIL	25994105	0	174480	210253	17048799	802141	119534	6780908	0	174480	0	210253	0	0	191807	0	892995	15963997	0	205133	128459	468549	0	0	0	0	119534	0	0	0	0	0	6780908	0	0	0	576540	205133	1021454	24052592	138386	0	0	0	0	0	0	719604	7177848	458246	1536024	15963997
DDS	25981492	241615	25245513	494364	0	0	0	0	241615	0	25245513	0	0	494364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241615	25245513	494364	0	0	0	0	0	0	0	0	0	0	0	0	25981492
ONR	25959432	412889	106928	479234	13403261	4876388	1399911	330633	412889	0	106928	0	479234	0	132374	13270887	0	0	0	0	0	4876388	0	0	379060	0	0	1020851	0	107255	223378	0	0	0	0	0	652518	18423161	0	4876388	1020851	0	0	784301	202213	207755	223378	379060	132374	13270887	7362987	519817
BBY	25855235	0	1615586	15183282	4214056	563017	3183217	1096077	0	0	1615586	0	0	15183282	0	0	0	4214056	0	0	0	0	563017	0	0	3183217	0	0	0	0	0	1096077	0	0	0	0	0	1615586	19462576	4214056	563017	0	0	0	0	0	0	1096077	3183217	0	0	21575941
AHM	25847962	0	100820	5472557	6959027	6663252	3324579	1828790	0	0	100820	5302197	0	170360	139570	2655543	4163914	0	0	735999	5824328	102925	0	0	0	3324579	0	0	0	1058449	0	770341	0	0	0	0	6608834	3492362	15533485	102925	0	0	110356	0	0	1955782	274239	770341	4200148	13892424	4266839	271180
NZA	25814348	0	265722	1638884	4446167	5148095	8935544	3975849	0	0	265722	0	273478	1365406	0	153346	0	4292821	0	0	1280308	2249871	1617916	0	150016	6703639	0	199881	1882008	0	0	527988	0	0	0	3447861	0	842562	10153196	6657499	1817797	1882008	4058509	0	0	0	106608	792811	6703639	1548066	3219466	13274511
DAW	25805906	344229	15519570	1650208	5774473	2235662	172001	0	344229	15519570	0	1530663	0	119545	5774473	0	0	0	1823877	0	127894	148299	135592	172001	0	0	0	0	0	0	0	0	0	0	0	0	25164813	0	357202	148299	135592	0	0	0	0	109763	172001	1823877	5774473	1658557	15667869	599366
TGA	25800268	185915	0	0	0	0	13615108	10902077	185915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13615108	0	0	0	0	0	7467216	3434861	0	0	185915	0	130397	21836138	3647818	0	0	0	0	0	130397	434321	7680173	17049969	0	185915
EIM	25800089	0	1192334	514443	4145651	1353069	5991144	4774354	0	0	1192334	0	514443	0	0	3421815	723836	0	0	237712	111300	0	1004057	0	240830	0	524141	0	5226173	0	792602	0	0	2798883	0	1182869	0	10191447	974771	524141	3802940	6114585	2369526	1822679	0	844304	792602	240830	362061	8806859	1238279	10428112
MEH	25770780	0	1228201	1128898	491602	22005514	128498	128271	0	1228201	0	1128898	0	0	491602	0	0	0	517872	0	21487642	0	0	0	0	0	0	128498	0	0	0	128271	0	0	0	0	3366573	0	21945811	0	128498	0	329898	0	0	0	329898	646143	491602	22616540	1686597	0
